spx100e,spx90e,spx80e,spx70e,spx60e,spx50e,spx40e,spx30e,spx20e,spx10e,spx0e
1.158430748,1.14281155,1.127054628,1.111157245,1.095116589,1.078929773,1.062593833,1.046105721,1.02946231,1.012660383,0.995696636
1.099212092,1.089629128,1.079895798,1.070006714,1.059956227,1.049738413,1.039347053,1.028775615,1.018017238,1.007064705,0.995910425
1.081593044,1.07512617,1.06859115,1.061984565,1.055302764,1.048541843,1.041697623,1.034765625,1.027741044,1.020618718,1.013393093
1.073281651,1.068300892,1.063248152,1.058119797,1.052911944,1.04762044,1.042240837,1.036768367,1.03119791,1.025523963,1.019740605
1.074641923,1.068946771,1.063299669,1.057703675,1.052162117,1.046678615,1.041257118,1.035901943,1.030617816,1.025409922,1.020283964
1.101983281,1.092573043,1.083234091,1.073971325,1.064790106,1.055696311,1.046696394,1.037797462,1.029007355,1.02033475,1.011789268
1.127790421,1.115251057,1.102687036,1.090097041,1.077479658,1.064833371,1.052156545,1.039447426,1.026704117,1.013924573,1.001106582
1.119765427,1.107545413,1.095324403,1.083102342,1.070879166,1.058654809,1.046429197,1.034202251,1.021973887,1.00974401,0.997512519
1.096499142,1.086916775,1.077377462,1.067883992,1.058439398,1.049046987,1.039710372,1.030433507,1.021220728,1.012076803,1.003006982
1.111020107,1.100055455,1.089109082,1.07818211,1.067275752,1.056391328,1.04553027,1.034694138,1.023884635,1.013103624,1.002353142
1.204575941,1.184392384,1.164189349,1.143966016,1.123721517,1.103454934,1.083165294,1.062851567,1.042512662,1.022147419,1.001754605
1.170393429,1.152861789,1.135330149,1.117798509,1.100266869,1.082735229,1.065203588,1.047671948,1.030140308,1.012608668,0.995077028
1.168897498,1.152008406,1.135102387,1.118179359,1.101239242,1.084281954,1.067307414,1.050315538,1.033306244,1.016279447,0.999235065
1.243510454,1.218527629,1.193715026,1.169073589,1.144604269,1.120308022,1.096185814,1.072238616,1.048467408,1.024873177,1.001456915
1.165935893,1.149441756,1.132924887,1.116385042,1.099821977,1.083235439,1.066625176,1.049990929,1.033332439,1.016649439,0.999941661
1.291321718,1.26136514,1.231683416,1.202278442,1.173152132,1.144306415,1.115743242,1.087464577,1.059472407,1.031768734,1.004355582
1.246213925,1.221022497,1.195939111,1.170966063,1.146105715,1.121360496,1.096732905,1.072225515,1.047840975,1.02358201,0.999451429
1.174825478,1.156856508,1.13889009,1.120926317,1.102965287,1.0850071,1.067051865,1.049099693,1.031150703,1.013205019,0.995262773
1.1830668,1.164518682,1.145979644,1.12744996,1.108929911,1.090419791,1.071919906,1.053430574,1.034952128,1.016484914,0.998029291
1.239442141,1.214975728,1.190559809,1.166196084,1.14188633,1.117632405,1.093436254,1.069299914,1.045225518,1.021215301,0.997271609
